WikidataID,WikidataName,ReconCount
Q5,human,522
Q2334719,legal case,13
Q3918,university,13
Q23002039,public educational institution of the United States,11
Q23002054,private not-for-profit educational institution,9
Q41298,magazine,9
Q11424,film,8
Q15936437,research university,8
Q14934048,political ideology,7
Q7889,video game,7
Q431603,advocacy group,6
Q43229,organization,6
Q482994,album,6
Q4830453,business enterprise,6
Q615150,land-grant institution,6
Q1110794,daily newspaper,5
Q19692072,United States Supreme Court decision,5
Q215380,band,5
Q476068,Act of Congress,5
Q515,city,5
Q571,book,5
Q902104,private university,5
Q11032,newspaper,4
Q151885,concept,4
Q5633421,scientific journal,4
Q737498,academic journal,4
Q875538,public university,4
Q1188663,Colonial Colleges,3
Q1549591,big city,3
Q163740,nonprofit organization,3
Q17888,sexual orientation,3
Q210167,video game developer,3
Q2465832,branch of science,3
Q327333,government agency,3
Q49371,legislation,3
Q5398426,television series,3
Q7278,political party,3
Q1002697,periodical literature,2
Q11862829,academic discipline,2
Q13442814,scientific article,2
Q1345691,international financial institution,2
Q1387659,school of thought,2
Q1530022,religious organization,2
Q160016,member state of the United Nations,2
Q169930,extended play,2
Q1752939,independent agency of the United States government,2
Q188451,music genre,2
Q189445,bicameral legislature,2
Q21104425,specialized agency of the United Nations,2
Q2135465,legal concept,2
Q21518270,state or insular area capital in the United States,2
Q273120,protest,2
Q35127,website,2
Q35657,state of the United States,2
Q3624078,sovereign state,2
Q39911,decade,2
Q41710,ethnic group,2
Q49773,social movement,2
Q5741069,rock band,2
Q6256,country,2
Q7257,ideology,2
Q7366,song,2
Q79913,non-governmental organization,2
Q838795,comic strip,2
Q891723,public company,2
Q930933,relationship,2
Q1047113,specialty,1
Q1066538,National Central City,1
Q10855242,race horse,1
Q11033,mass media,1
Q1110684,professional association,1
Q1132455,hazard,1
Q1137109,video game publisher,1
Q11391922,public policy school,1
Q1139665,political murder,1
Q1208802,direct-controlled municipality,1
Q123705,neighborhood,1
Q1262438,international court,1
Q12737077,occupation,1
Q12859788,steamship,1
Q13212489,county of California,1
Q13414953,religious denomination,1
Q134556,single,1
Q1400264,artist collective,1
Q1401304,economic theory,1
Q1413677,justice ministry,1
Q1497364,building complex,1
Q1520223,constitutional republic,1
Q15416,television program,1
Q157031,foundation,1
Q15734684,Körperschaft des öffentlichen Rechts,1
Q157811,virtue,1
Q15809678,financial product,1
Q15899789,principal organ of the United Nations,1
Q15925549,cultural generation of western society,1
Q159821,Summer Olympic Games,1
Q1612699,crime family,1
Q1620945,historically black colleges and universities,1
Q162378,grammatical gender,1
Q16335331,Holocaust survivor,1
Q1637706,city with millions of inhabitants,1
Q16512470,rules,1
Q166142,application,1
Q169207,discrimination,1
Q1709894,journalism prize,1
Q17343829,unincorporated community,1
Q1738991,index number,1
Q17524420,aspect of history,1
Q1758690,municipal police,1
Q178790,trade union,1
Q179057,explosion,1
Q1792372,character,1
Q179805,political philosophy,1
Q1810004,election law,1
Q18509232,fast food restaurant chain,1
Q1863818,maritime museum,1
Q188628,board of directors,1
Q189004,college,1
Q1914636,activity,1
Q198,war,1
Q19944802,government structure,1
Q201658,film genre,1
Q20679883,psychological theory,1
Q20857065,United States federal agency,1
Q20971972,Original Public Ivy,1
Q210337,media player,1
Q21114848,magazine genre,1
Q21188110,American television sitcom,1
Q2198855,cultural movement,1
Q221810,anti-discrimination law,1
Q229390,3D film,1
Q2300373,national trade union center,1
Q2393196,personality trait,1
Q24229398,agent,1
Q24657198,podcatcher,1
Q25110269,live-action/animated film,1
Q26700453,fictional knowledge organization system,1
Q28017217,presidential school,1
Q28790362,ethnic community,1
Q2943071,congressional caucus,1
Q294308,publicly funded health care,1
Q2979,liberty,1
Q30125896,scientific hypothesis,1
Q3048444,school of economic thought,1
Q3117863,isolated human group,1
Q31855,research institute,1
Q3220391,social networking service,1
Q3305213,painting,1
Q33104069,political concept,1
Q3380824,trading company,1
Q355567,royal or noble rank,1
Q3778211,legal person,1
Q40050,drink,1
Q40056,computer program,1
Q41521,schism,1
Q4164871,position,1
Q42264828,Problemfrage,1
Q423208,private school,1
Q43577,cat breed,1
Q4392985,religious identity,1
Q44782,port,1
Q45701,waste,1
Q480242,statistical service,1
Q4829849,Awards,1
Q483130,geographic information system,1
Q484652,international organization,1
Q4892352,instant messaging client,1
Q49447,world view,1
Q5119,capital,1
Q523,star,1
Q5260216,Department of Corrections,1
Q532,village,1
Q53463,constitutional amendment,1
Q559856,video hosting service,1
Q5691113,health organization,1
Q658255,subsidiary company,1
Q6957341,major religious groups,1
Q7188,government,1
Q7246202,private foundation (US),1
Q7283,terrorism,1
Q732717,law enforcement agency,1
Q751708,village in the United States,1
Q7603694,state government of the United States,1
Q772547,armed forces,1
Q7748,law,1
Q8148,industry,1
Q81672,attack,1
Q82794,geographic region,1
Q8436,family,1
Q8461,racism,1
Q856234,academic library,1
Q861911,speech,1
Q865588,committee,1
Q879146,Christian denomination,1
Q910252,United States federal executive department,1
